measure_full,value,proj_desc,proj_inum,data_year,direction,measure
SOUTHBOUND_calc_len,13489.35207,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,44.0350688,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,21.44864893,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.692406944,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.228825196,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.266002806,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.237288285,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,lottr_wknd
EASTBOUND_calc_len,24903.4716,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,34.63208255,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,19.23373197,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.3585958,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.347256697,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.388225876,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.396569129,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,24903.4716,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,33.30953332,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,18.48563688,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.318785501,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.363133491,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,lottr_md
